job_name,expected_code,expected_name
招聘司机驾驶员,4-02-02-00,道路运输服务人员
招聘坐岗看守员包吃住,4-07-05-01,保安员
招聘培训专员,2-06-08-04,职业技术实训指导专业人员
招聘学员,8-00-00-00,不便分类的其他从业人员
招聘客服,4-04-05-03,呼叫中心服务员
招聘导购员月入5000+,4-01-02-03,商品营业员
招聘抖音语音聊天主播,4-13-01-05,全媒体运营师S
招聘文员,3-01-02-05,打字员
招聘文员可培训有住宿,3-01-02-05,打字员
招聘旅游专职司机,4-02-02-01,客运车辆驾驶员L
招聘有经验全屋定制设计师,4-08-08-07,室内装饰设计师
招聘箱货司机搬运工,4-02-02-02,道路货运汽车驾驶员L
招聘线上语音主播,4-13-01-05,全媒体运营师S
招聘经理,1-06-01-02,企业经理
招聘经理/主管,1-06-01-02,企业经理
招聘经理助理 早八晚五 文职工作 轻松易上手,3-01-02-05,打字员
招聘美容师,4-10-03-01,美容师
招聘花艺师2名，有2年以上的工作经验,4-09-10-05,插花花艺师
招聘营业员，欢迎有志之士加入！,4-01-02-03,商品营业员
招聘行政司机纯司机收入乐观补贴高,4-02-02-01,客运车辆驾驶员L
招聘補漏工,4-10-02-05,织补师
招聘跟我一起在办公室撸猫的同事一点到八点,8-00-00-00,不便分类的其他从业人员
招聘顾问,4-07-03-08,招聘师
招聘顾问/招聘专员,4-07-03-08,招聘师
招聘顾问（双休！不加班，不内卷，办公氛围超nice~）,4-07-03-08,招聘师
招长期稳定货运司机,4-02-02-02,道路货运汽车驾驶员L
拼多多店长,4-01-06-01,电子商务师S
拼多多招聘物流运营,4-02-06-03,物流服务师L
拼多多招聘调度员,4-02-06-03,物流服务师L
拼多多电商运营专员,4-01-06-01,电子商务师S
拼多多运营,4-01-06-01,电子商务师S
拾味客招聘后厨,4-03-02-01,中式烹调师
按摩师,4-10-04-02,保健按摩师
按摩店,4-10-04-02,保健按摩师
按摩技师,4-10-04-02,保健按摩师
挑战高薪一万加+接受小白+上升空间,8-00-00-00,不便分类的其他从业人员
挖掘机、叉车维修,4-12-01-01,汽车维修工
挤压主管,6-18-01-12,冲压工
捉鸭记餐厅招聘厨师,4-03-02-01,中式烹调师
换份高薪销售到宏炎地产,4-06-02-01,房地产经纪人
换热器外贸业务经理（日韩）,2-06-07-01,国际商务专业人员
授权经理,2-06-12-05,版权管理专业人员
探针卡设计工程师,2-02-09-02,电子元器件工程技术人员
接受实习！！！+双休+提供住宿,8-00-00-00,不便分类的其他从业人员
接受小白 嗨皮敲键盘备战618的电商工作,4-04-05-03,呼叫中心服务员
接受无经验办公室人事,3-01-01-01,行政办事员
接待  收银  洗车工,4-01-02-04,收银员
接待专员,4-03-99-00,其他住宿和餐饮服务人员
接待教师,4-03-99-00,其他住宿和餐饮服务人员
推广专员,2-06-07-04,品牌专业人员
推广员,2-06-07-04,品牌专业人员
推广策划经理,2-06-07-04,品牌专业人员
推广运营,2-06-07-04,品牌专业人员
推广运营专员,2-06-07-04,品牌专业人员
推广顾问（双休+五险）,2-06-07-04,品牌专业人员
推拿,2-05-02-11,中医推拿医师
提成律师,2-07-04-00,律师
提琴,2-09-02-10,外国乐器演奏员
插画师,2-09-06-01,视觉传达设计人员
插画设计师,2-09-06-01,视觉传达设计人员
揭阳市榕城区志在...招聘后厨,4-03-02-01,中式烹调师
揭阳市榕城区睿斯...招聘木工,6-06-03-01,手工木工
搏锐锦承招聘代驾司机,4-02-02-01,客运车辆驾驶员L
搜索推荐算法专家,2-02-38-01,人工智能工程技术人员S
搞钱！！！抖音官方客服专员 无销售！！！,4-04-05-03,呼叫中心服务员
摄像,4-08-09-01,商业摄影师
摄像头镜片组装22/时白班包吃住,6-20-07-00,文化办公机械制造人员
摆摊卖饮料6000起,6-02-06-09,饮料制作工
摩托车销售经理,2-06-07-02,市场营销专业人员
播音主持教师,2-06-08-04,职业技术实训指导专业人员
支行公司客户经理,1-06-01-02,企业经理
收款专员,4-01-02-04,收银员
收款码升级  5分钟一单,8-00-00-00,不便分类的其他从业人员
收货部主管,1-06-01-02,企业经理
政府关系专员（乡村振兴，当涂县）,2-06-07-14,企业合规师
政府关系总监,2-06-07-14,企业合规师
政府关系经理,1-06-01-02,企业经理
政府项目管理主管-双休，五险一金,2-06-07-14,企业合规师
效果图设计师,4-08-08-07,室内装饰设计师
教育会议服务专员（提供住宿+实习生）,4-13-99-00,其他文化和教育服务人员
教育咨询师,2-06-08-03,职业信息分析专业人员
教育培训运营总监,4-13-99-00,其他文化和教育服务人员
教育市场主管/经理,2-06-07-02,市场营销专业人员
教育渠道经理（无坐班要求）,2-06-07-02,市场营销专业人员
教育运营专员,4-13-99-00,其他文化和教育服务人员
数字政府业务规划师,2-06-07-13,数字化管理师S
数字营销经理,4-01-06-02,互联网营销师S
数字营销（高级）专员 （外资特医食品）,4-01-06-02,互联网营销师S
数学 运筹学类 英文学术期刊助理编辑（大连）,2-10-02-00,编辑
数学编辑（双休 五险一金）,2-10-02-04,数字出版编辑S
数据专员,2-06-02-00,统计专业人员
数据专员（乌市）,2-06-02-00,统计专业人员
数据中心项目经理,4-04-05-04,数据库运行管理员S
数据产品经理,2-02-34-01,产品设计工程技术人员
数据线打包坐班26/小时,6-31-05-00,包装工
数码修图师,4-08-09-01,商业摄影师
整合支持主任（项目管理+文案）,2-02-30-04,项目管理工程技术人员
整合营销策划（物业总部）,2-06-07-02,市场营销专业人员
整案设计师,4-08-08-07,室内装饰设计师
整车测试工程师,2-02-07-11,汽车工程技术人员L
整车物流规划及运营,4-02-06-03,物流服务师L
文创产品店店长,2-02-34-01,产品设计工程技术人员
文创设计兼职,2-09-06-06,工艺美术专业人员
文管中心体系专员,2-02-30-08,信息管理工程技术人员S
斑马森林动漫有限公司招聘服务员,4-99-00-00,其他社会生产服务和生活服务人员
斗音小店运营,4-99-00-00,其他社会生产服务和生活服务人员
新乡西大街急招【人事专员】 五险+包住宿,3-01-01-01,行政办事员
新人免费教AU有声书后期音效音频编辑制作,2-09-03-06,剪辑师
新疆源聚力标识招聘学徒工,6-08-01-01,印前处理和制作员
新美香食品招聘质量管理/测试,4-03-02-11,食品安全管理师
新能源 产品总监,2-02-34-01,产品设计工程技术人员
新能源汽车技术工程师,2-02-07-11,汽车工程技术人员L
新能源电工+五险一金+包食宿,6-31-01-03,电工
新药注册经理,1-06-01-02,企业经理
新设网点筹建负责人,4-02-07-11,快递站点管理师
新赛道 新经纪 4.0时代+投资管理 贝壳集团直招 薪资8000+,2-06-09-06,公司金融顾问
新车二手车金融专员,4-05-01-02,银行信贷员
新郑货运司机驾驶员,4-02-02-02,道路货运汽车驾驶员L
新都石油大学三河场大丰直聘送餐员0元入职,4-10-08-01,网约配送员
新鑫昊方通经营部招聘配/理/拣/发货,4-02-06-02,理货员
新闻采编,2-10-02-01,文字编辑
方安招聘氩弧焊工,6-18-02-04,焊工
方案主创设计师,2-06-07-03,商务策划专业人员
方案策划主管（文旅方向）,2-06-07-03,商务策划专业人员
方案设计工程师,2-06-07-03,商务策划专业人员
方案设计师,2-06-07-03,商务策划专业人员
方案设计师、构件设计师,2-06-07-03,商务策划专业人员
方正排版学徒,6-08-01-01,印前处理和制作员
方法开发工程师,2-02-10-00,信息和通信工程技术人员
施工主管,6-29-02-00,土木工程建筑施工人员
施工员,6-29-02-00,土木工程建筑施工人员
施工图深化设计师,2-02-18-02,土木建筑工程技术人员
施工图设计师,2-02-18-02,土木建筑工程技术人员
施工安全员,6-31-06-00,安全员
施工测绘员,2-02-18-02,土木建筑工程技术人员
施工管理员,2-02-18-02,土木建筑工程技术人员
施工项目经理（储备项目）,2-02-18-02,土木建筑工程技术人员
无人机及制图实习工程师（杭州）,2-02-02-04,地图制图工程技术人员S
无人机总工,2-02-08-02,飞行器制造工程技术人员
无压销售不加班无通话时长,4-01-02-00,销售人员
无微电器招聘水电工,6-31-01-10,机电设备维修工
无线网络优化工程师,2-02-10-01,通信工程技术人员S
无线通信协议栈软件工程师,2-02-10-01,通信工程技术人员S
无经验实习生5K+培训+食宿,8-00-00-00,不便分类的其他从业人员
无经验小白也挣高薪过万,8-00-00-00,不便分类的其他从业人员
无聊给自己找个小姑奶奶宠着（主播）,8-00-00-00,不便分类的其他从业人员
无责3k-5k+客服（十堰）+高提成+政府合作,4-04-05-03,呼叫中心服务员
无责4500+9：30上班招商专员,2-06-07-03,商务策划专业人员
无责4500+坐班无任务,8-00-00-00,不便分类的其他从业人员
无责5000/五险一金/月入过万,8-00-00-00,不便分类的其他从业人员
"无责任保底工资8058元, 带薪培训,配备电脑,专车接送,销售",4-01-02-00,销售人员
无责保底一万+销售（长期驻外）,4-01-02-00,销售人员
无责底薪3000+美团优选直营BD,2-06-07-04,品牌专业人员
无责底薪4000+提成，广告业务经理 月入1万+,2-06-07-00,商务专业人员
无责底薪5000招服务员,4-99-00-00,其他社会生产服务和生活服务人员
无责底薪7K-客户经理,4-07-02-03,客户服务管理员
无责底薪，早九晚六，电话客服,4-04-05-03,呼叫中心服务员
无责销售！有车就管！最低8k！！,4-01-02-00,销售人员
无车计件专员,4-02-07-09,快件处理员
无销售采耳理疗保底一万 包吃包住 不限经验,4-10-04-02,保健按摩师
无销售！薪资4500起提醒专员+五险一金,4-04-01-01,信息通信营业员
无锡-叉车司机,6-30-05-01,起重装卸机械操作工
无锡万科靖樾东方置业顾问,4-06-02-01,房地产经纪人
无锡大公司有发展 /康养规划师,4-14-02-02,健康管理师
无锡市区短途配送司机,4-02-02-02,道路货运汽车驾驶员L
无锡神州二手车市...招聘缝纫工,6-05-01-03,缝纫工
无锡积木空间设计招聘木工,6-06-03-01,手工木工
无锡翼驰钣喷中心招聘钣金工,6-18-01-12,冲压工
无需出差坐班电话销售,4-01-02-00,销售人员
无需外出+双休/车险客户经理,2-06-10-00,保险专业人员
无需外出+太平洋续保专员/五险一金,4-05-03-02,保险保全员
无需有车，可兼职可全职,8-00-00-00,不便分类的其他从业人员
日企财务岗位,2-06-03-00,会计专业人员
日入200以上推广兼职,4-01-02-00,销售人员
日内交易员,4-99-00-00,其他社会生产服务和生活服务人员
日化销售代表（文山片区）,4-01-02-01,营销员
日料店长,4-03-02-03,西式烹调师
日本乐天运营专员,2-06-07-04,品牌专业人员
日本酒店产品经理,2-02-34-01,产品设计工程技术人员
日照经济技术开发...招聘理货员,4-02-06-02,理货员
日结100聊天打字主播,4-99-00-00,其他社会生产服务和生活服务人员
日结800/天!中华烟草采购!包吃住,4-01-05-04,烟草制品购销员
日结工+一天209+长白班管吃住,4-99-00-00,其他社会生产服务和生活服务人员
日结昆山环鸿汽车电子设备厂包吃包住,6-22-00-00,汽车制造人员
日结轻松保安+包吃住,4-07-05-01,保安员
日薪179-190元直招分拣员,4-99-00-00,其他社会生产服务和生活服务人员
日薪400 滴滴诚聘网约车司机 有车/无车 可兼职,4-02-02-01,客运车辆驾驶员L
日薪600+广州多平台网约车司机结算快时间,4-02-02-01,客运车辆驾驶员L
日语储备工程师（珠海金湾）,2-02-07-04,设备工程技术人员
日语商务助理,2-06-07-01,国际商务专业人员
日语外贸业务员,2-06-07-01,国际商务专业人员
日语担当（业务员）,2-06-07-01,国际商务专业人员
日语教研主管,2-08-99-00,其他教学人员
日语翻译,2-10-05-00,翻译
日语营业,2-10-05-00,翻译
日语财务（总账会计经理）,2-06-03-00,会计专业人员
日语跟单,6-31-99-00,其他生产辅助人员
日语采购,2-06-07-02,市场营销专业人员
日语采购担当,2-06-07-02,市场营销专业人员
日韩签证专员,3-01-01-01,行政办事员
早9晚6 双休 招聘专员,4-07-03-08,招聘师
早9晚6 月休4-8 6000+延保专员,4-05-03-02,保险保全员
早九晚五时间自由养老代表月入1W,8-00-00-00,不便分类的其他从业人员
早九晚六仲裁判责岗,3-01-03-00,行政执法及仲裁人员
早九晚六周末双休HRBP7000元+,2-06-08-02,人力资源服务专业人员
早九晚六高薪销售专员,4-01-02-01,营销员
早八晚五 仓库看守380一天可临时工日结兼职,4-02-06-01,仓储管理员
中心合伙人,8-00-00-00,不便分类的其他从业人员
早教中心课程顾问—五险双休,2-08-03-00,幼儿园教师
早晚班店员6-8k+五险餐补,4-01-02-03,商品营业员
早班店长剧本杀,4-14-05-04,康乐服务员
时间弹性自由/无需坐班/客户经理,4-07-02-03,客户服务管理员
昆山全屋定制工厂销售经理,2-06-07-02,市场营销专业人员
昆山大型电子厂 高工资8000,6-25-00-00,计算机、通信和其他电子设备制造人员
昆明厨友厨房设备招聘机修工,6-31-01-00,机械设备修理人员
昆明木木夕木目心...招聘陈列员,4-01-02-03,商品营业员
昌宁双胞胎招聘锅炉工,6-28-01-11,锅炉操作工
明安保安招聘保安,4-07-05-01,保安员
明恩堂托管招聘厨师,4-03-02-01,中式烹调师
明明美妆招聘店员/营业员,4-01-02-03,商品营业员
明源机械招聘电工,6-31-01-03,电工
易尔富来普招聘钳工,6-20-01-01,装配钳工
易贝可招聘蛋糕/裱花师,6-02-01-02,糕点装饰师
星中德汽车招聘油漆工,4-12-01-01,汽车维修工
星光美时招聘普工/操作工,6-00-00-00,生产制造及有关人员
星巴克招聘咖啡师,4-03-02-08,咖啡师
星硕传媒招聘理货员,4-02-06-02,理货员
星级咖啡师(全职)(荣昌区),4-03-02-08,咖啡师
星级咖啡师（社会人士）（德清县）,4-03-02-08,咖啡师
春融街日结200-300时间自由安排,4-99-00-00,其他社会生产服务和生活服务人员
昭阳货运集团招聘货运代理经理,4-02-05-03,货运代理服务员
晋中招聘货运纯司机CB本,4-02-02-02,道路货运汽车驾驶员L
晋城市城区蓝岸饮品店招聘咖啡师,4-03-02-08,咖啡师
晋城市城区赞挺餐饮店招聘咖啡师,4-03-02-08,咖啡师
晋城市城区顺风扬...招聘服务员,4-99-00-00,其他社会生产服务和生活服务人员
晋江市内坑镇奥香...招聘面包/烘焙师,6-02-01-01,糕点面包烘焙师
晋江市安海镇格纳...招聘服务员,4-99-00-00,其他社会生产服务和生活服务人员
晋江市梅岭向舒平...招聘面包/烘焙师,6-02-01-01,糕点面包烘焙师
晚班客服,4-07-02-03,客户服务管理员
晟熙鸿窗饰招聘缝纫工,6-05-01-03,缝纫工
晟特嘉招聘车工,6-18-01-01,车工
晨光文具直招机修工,6-31-01-00,机械设备修理人员
晨驰餐饮招聘后厨,4-03-02-01,中式烹调师
普工,6-00-00-00,生产制造及有关人员
普工+包吃包住+综合薪资5-6k+汽车厂,6-22-00-00,汽车制造人员
普工/操作工,6-00-00-00,生产制造及有关人员
普工/操作工/临时工/学徒工/包装工,6-00-00-00,生产制造及有关人员
普工/操作工/组装/修补,6-00-00-00,生产制造及有关人员
普工坐班包吃住300预支,6-00-00-00,生产制造及有关人员
普工操作工,6-00-00-00,生产制造及有关人员
普工（仪表工）,6-26-01-01,仪器仪表制造工
普工，生产员,6-00-00-00,生产制造及有关人员
普检销售代表 (MJ001803),2-06-07-02,市场营销专业人员
普检销售代表（马鞍山）(J10078),2-06-07-02,市场营销专业人员
普通职工,8-00-00-00,不便分类的其他从业人员
景区商品销售经理,2-06-07-02,市场营销专业人员
景区营销总监,2-06-07-02,市场营销专业人员
景区营销总监（文旅项目）,2-06-07-02,市场营销专业人员
景德镇珠山区零食店急招半天班营业员,4-01-02-03,商品营业员
景洪傣遇火锅店招聘后厨,4-03-02-01,中式烹调师
景洪启明招聘收银,4-01-02-04,收银员
景洪嘿麦烘焙招聘蛋糕/裱花师,6-02-01-02,糕点装饰师
景润装饰招聘店员/营业员,4-01-02-03,商品营业员
景观园林设计师,2-02-18-03,风景园林工程技术人员L
景观施工图设计师,2-02-18-03,风景园林工程技术人员L
景观设计师（应届）,2-02-18-03,风景园林工程技术人员L
智公采耳师,4-10-04-02,保健按摩师
智创生活-工程管理（福州）,2-02-30-07,监理工程技术人员
智创生活-项目管理（品控管理方向）（广州）,2-02-30-04,项目管理工程技术人员
智慧家庭工程师,2-02-38-05,智能制造工程技术人员S
智慧校园解决方案经理,2-02-38-05,智能制造工程技术人员S
智能与数字化部-产品经理,2-02-38-05,智能制造工程技术人员S
智能硬件产品经理,2-02-38-05,智能制造工程技术人员S
智能硬件产品经理（长沙）,2-02-38-05,智能制造工程技术人员S
智能硬件工程师(J10623),2-02-38-05,智能制造工程技术人员S
智能结构高级工程师/项目经理,2-02-38-05,智能制造工程技术人员S
智能车衍生业务经理,2-02-38-05,智能制造工程技术人员S
暑假学生工25元时包吃住,8-00-00-00,不便分类的其他从业人员
暑假工,8-00-00-00,不便分类的其他从业人员
暑假工 双休 物流送货 后勤 送货 9000+,4-02-07-08,快递员
暑假工文员,3-01-02-05,打字员
暖通主管,2-02-18-06,城镇燃气与供热工程技术人员L
暖通工程师,2-02-18-06,城镇燃气与供热工程技术人员L
暖通工程师（投标）,2-02-18-06,城镇燃气与供热工程技术人员L
暖通技术员,2-02-18-06,城镇燃气与供热工程技术人员L
暖通施工员,6-29-02-00,土木工程建筑施工人员
暖通热力设计工程师,2-02-18-06,城镇燃气与供热工程技术人员L
暖通空调设计师,2-02-18-06,城镇燃气与供热工程技术人员L
暖通行业售前技术支持,4-07-02-03,客户服务管理员
暖通设计,2-02-18-06,城镇燃气与供热工程技术人员L
暖通设计.预算员,2-02-18-06,城镇燃气与供热工程技术人员L
暖通设计工程师,2-02-18-06,城镇燃气与供热工程技术人员L
暖通设计师助理,2-02-18-06,城镇燃气与供热工程技术人员L
暖通销售工程师,2-06-07-02,市场营销专业人员
暖通销售经理（湖北出差）(J10282),2-06-07-02,市场营销专业人员
暴龙专卖大石坝店验光师,4-14-03-03,眼镜验光师
曹县电子厂长白班月4000+,6-25-00-00,计算机、通信和其他电子设备制造人员
曼德夫餐厅招聘后厨,4-03-02-01,中式烹调师
會計稅務助理,2-06-03-00,会计专业人员
月12000-18000双休不加班数据充足运营销售,4-01-02-00,销售人员
月休6天-客服岗【 无加班+提供公寓宿舍】,4-04-05-03,呼叫中心服务员
月休6天银行渠道授信专员,2-06-07-02,市场营销专业人员
月休8天办公室工作6000+,8-00-00-00,不便分类的其他从业人员
月佳广告招聘切割工,6-18-02-05,机械加工材料切割工
月入1.2W鲜羊奶销售,4-01-02-03,商品营业员
月入1W+销售顾问/蚂蚁正编/双休朝九晚六/五险一金,4-01-02-01,营销员
月入6000+安踏导购-门店就近安排,4-01-02-03,商品营业员
月入6000+美容师/包吃住/薪资高,4-10-03-01,美容师
月入7000+朝九晚六+售前邀约客服无销售性质,4-01-02-00,销售人员
月入9800+ 超市招 后勤送货,4-10-08-01,网约配送员
月入9K招聘同城配送员日结提供车辆住宿工作就近安排,4-10-08-01,网约配送员
月入过万不~是~梦，轻松不加班纯坐班,8-00-00-00,不便分类的其他从业人员
月入过万没什么问题的商务顾问（J27509）,2-06-07-02,市场营销专业人员
月入过万的零基础销售,4-01-02-00,销售人员
月入过万货运司机不装卸,4-02-02-02,道路货运汽车驾驶员L
月入过万车险专员/可小白,4-05-03-04,保险经纪人
月入过万鲜奶促销员（新化）,4-01-02-03,商品营业员
月嫂,4-10-01-06,家政服务员
月嫂主管,4-10-01-06,家政服务员
月子中心护士长,4-10-01-03,保育师
月子中心招母婴护理师（接受新手）,4-10-01-03,保育师
月子中心月嫂,4-10-01-03,保育师
月子中心母婴护理师,4-10-01-03,保育师
月子中心高薪急招母婴师，,4-10-01-03,保育师
月子会所店长,4-10-01-03,保育师
月薪1w 纯管理岗 包吃住,8-00-00-00,不便分类的其他从业人员
月薪2万招市场开发,2-06-07-02,市场营销专业人员
月薪6000+ app推广 就近分配 上班自由,4-01-02-01,营销员
月薪8千招高端别墅卫保洁收纳,4-10-01-06,家政服务员
月薪资10000+急招送餐员 包吃住,4-10-08-01,网约配送员
月薪过万 出差销售/业务,4-01-02-00,销售人员
月薪过万-滴滴全职兼职司机（合肥）,4-02-02-01,客运车辆驾驶员L
月薪过万室内电话销售,4-01-02-00,销售人员
有一家装饰招聘油漆工,6-29-04-01,装饰装修工
有五险高薪工程监理,2-02-30-07,监理工程技术人员
有机合成工艺研究员,2-02-06-01,化工实验工程技术人员
有机合成研发员,2-02-06-01,化工实验工程技术人员
有机合成研究员,2-02-06-01,化工实验工程技术人员
有机合成组长,2-02-06-01,化工实验工程技术人员
有机实验员,2-02-06-01,化工实验工程技术人员
有机液相液质实验室分析师,2-02-06-01,化工实验工程技术人员
有源安规工程师,2-02-28-03,安全生产管理工程技术人员
有点枯燥 但工作好 鉴定所有擦边视频~,4-04-99-00,其他信息传输、软件和信息技术服务人员
有线传输工程师,2-02-10-01,通信工程技术人员S
有赞运营专员,2-06-07-04,品牌专业人员
有食堂 天府四街月休八天6200,8-00-00-00,不便分类的其他从业人员
服务专家-车险,4-07-02-03,客户服务管理员
服务助理,4-07-02-03,客户服务管理员
服务员,4-99-00-00,其他社会生产服务和生活服务人员
服务员 后厨人员 厨师长  店长,4-03-02-01,中式烹调师
服务员(东街店),4-03-02-05,餐厅服务员
服务员酒店,4-03-01-00,住宿服务人员
服务员领班,4-03-01-00,住宿服务人员
服务端软件开发工程师,2-02-10-03,计算机软件工程技术人员S
服务经理,4-07-02-03,客户服务管理员
服务顾问,4-99-00-00,其他社会生产服务和生活服务人员
服务顾问sa,4-99-00-00,其他社会生产服务和生活服务人员
服务顾问助理,4-99-00-00,其他社会生产服务和生活服务人员
服装 卖手 3~5万,4-01-02-03,商品营业员
服装业务助理（日语）,2-10-05-00,翻译
服装业务员,4-01-02-03,商品营业员
服装业务跟单,6-31-99-00,其他生产辅助人员
服装仓库管理员,4-02-06-01,仓储管理员
服装供应链总监,4-02-06-05,供应链管理师S
服装厂英文跟单,6-31-99-00,其他生产辅助人员
服装商品专员,4-01-02-03,商品营业员
服装商品主管,2-06-07-02,市场营销专业人员
服装外贸单证员,2-06-07-01,国际商务专业人员
服装大烫工,6-05-01-04,缝纫品整型工
服装家纺跟单员,6-31-99-00,其他生产辅助人员
服装导购,4-01-02-03,商品营业员
服装导购/店长,4-01-02-03,商品营业员
服装导购员,4-01-02-03,商品营业员
服装导购，店助,4-01-02-03,商品营业员
服装工艺师,2-09-04-06,服装道具师
服装师,2-09-04-06,服装道具师
服装平面模特,4-07-07-03,模特
服装店导购员,4-01-02-03,商品营业员
服装店长,4-01-02-03,商品营业员
服装开发采购主管/经理,4-01-01-00,采购员
服装插画师,6-05-01-01,服装制版师
服装版师,6-05-01-01,服装制版师
服装督导,6-05-01-01,服装制版师
服装绣花工,6-05-01-03,缝纫工
服装设计助理,2-09-06-02,服装设计人员
服装设计师,2-09-06-02,服装设计人员
服装设计师（项目合伙人方向）,2-09-06-02,服装设计人员
服装质检专员,6-31-03-05,质检员
服装质量跟单,6-31-03-05,质检员
服装贸易员,4-01-02-01,营销员
服装跟单,6-31-99-00,其他生产辅助人员
服装销售,4-01-02-03,商品营业员
服装销售/导购/营业员,4-01-02-03,商品营业员
服装销售导购,4-01-02-03,商品营业员
服装销售导购员,4-01-02-03,商品营业员
服装陈列师,4-01-02-03,商品营业员
望都白酒销售,4-01-02-03,商品营业员
朝九晚六 双休 电销客服,4-01-02-01,营销员
朝九晚六+双休+五险（投资经理）,2-06-09-06,公司金融顾问
朝九晚六+电话客服,4-04-05-03,呼叫中心服务员
朝九晚六-电话销售-大小周,4-01-02-00,销售人员
朝九晚六/办公室专员+五险一金,3-99-00-00,其他办事人员和有关人员
朝九晚六人事助理可新人,3-01-01-01,行政办事员
期货下单员,2-06-11-06,期货专业人员
期货交易员,2-06-11-06,期货专业人员
期货区域业务经理（昆明）,2-06-11-06,期货专业人员
木作深化设计师,4-08-08-07,室内装饰设计师
木作设计师,4-08-08-07,室内装饰设计师
木门工厂厂长,2-02-30-01,工业工程技术人员
未来拯救师（新人5000+晋升空间大）,4-02-03-04,水上救生员
本地推营销顾问（J230101）,4-01-02-01,营销员
本地数据线250/天包吃住,6-31-05-00,包装工
本地生活-BDM-常州,2-06-07-04,品牌专业人员
本地生活BD,2-06-07-04,品牌专业人员
本科新人薪资8k起+行业巨头直招+就近分配,8-00-00-00,不便分类的其他从业人员
机修,6-31-01-00,机械设备修理人员
机修中工,6-31-01-02,机修钳工
机修员,6-31-01-00,机械设备修理人员
机修学徒,6-31-01-00,机械设备修理人员
机修工,6-31-01-00,机械设备修理人员
机动车检测站站长,2-02-07-11,汽车工程技术人员L
