input,csco_code,csco_name,similarity,expected_code,expected_name
坐岗看守员,3010203,公关员,0.8736290830758475,4070501,保安员
培训专员,4070305,职业培训师,0.8673054713901858,2060804,职业技术实训指导专业人员
学员,2100300,校对员,0.8279597573140729,8000000,不便分类的其他从业人员
客服,4040503,呼叫中心服务员,0.999999999999906,4040503,呼叫中心服务员
导购员,4010203,商品营业员,0.9999999999999107,4010203,商品营业员
抖音语音聊天主播,4140300,康复矫正服务人员,0.7890780837148261,4130105,全媒体运营师S
文员,3010202,秘书,0.9999999999998795,3010205,打字员
文员可培训,4070305,职业培训师,0.8679884732635755,3010205,打字员
旅游专职司机,4020201,客运车辆驾驶员L,0.8670888753853477,4020201,客运车辆驾驶员L
有经验全屋定制设计师,4080807,室内装饰设计师,0.8027510028740649,4080807,室内装饰设计师
箱货司机搬运工,4020202,道路货运汽车驾驶员L,0.9248608608914495,4020202,道路货运汽车驾驶员L
线上语音主播,4140300,康复矫正服务人员,0.7998139519383116,4130105,全媒体运营师S
经理,2060703,商务策划专业人员,0.9687958552800685,1060102,企业经理
经理主管,4130105,全媒体运营师S,0.968808002583295,1060102,企业经理
经理助理  文职工作 轻松易上手,3010202,秘书,0.8569512377581364,3010205,打字员
美容师,4100301,美容师,0.9999999999999029,4100301,美容师
花艺师2名有2年以上的工作经验,2090000,文学艺术、体育专业人员,0.573268891163168,4091005,插花花艺师
营业员欢迎有志之士加入,4130100,社会文化活动服务人员,0.7118648461196823,4010203,商品营业员
行政司机纯司机收入乐观补贴高,6300100,专用车辆驾驶员,0.6427520948262916,4020201,客运车辆驾驶员L
補漏工,6180103,刨插工,0.8772851806843119,4100205,织补师
跟我一起在办公室撸猫的同事一点到八点,4100000,居民服务人员,0.5860227824442779,8000000,不便分类的其他从业人员
顾问,4060201,房地产经纪人,0.9557067165565918,4070308,招聘师
招聘顾问招聘专员,4070308,招聘师,0.9417896216218619,4070308,招聘师
顾问不内卷办公氛围超nice,3010200,行政事务处理人员,0.6664484279720058,4070308,招聘师
招长期稳定货运司机,4020202,道路货运汽车驾驶员L,0.804973554818152,4020202,道路货运汽车驾驶员L
拼多多店长,6110812,松香工,0.8541792161461386,4010601,电子商务师S
拼多多物流运营,4020603,物流服务师L,0.8933615191751058,4020603,物流服务师L
拼多多调度员,4010601,电子商务师S,0.8717642044857657,4020603,物流服务师L
拼多多电商运营专员,4010601,电子商务师S,0.9186826878033016,4010601,电子商务师S
拼多多运营,4010601,电子商务师S,0.9999999999998883,4010601,电子商务师S
拾味客后厨,4030201,中式烹调师,0.8865312386673528,4030201,中式烹调师
按摩师,4100402,保健按摩师,0.9999999999999102,4100402,保健按摩师
按摩店,4100402,保健按摩师,0.8640309924490533,4100402,保健按摩师
按摩技师,4100402,保健按摩师,0.9690773521688902,4100402,保健按摩师
挑战一万加接受小白上升空间,2090000,文学艺术、体育专业人员,0.3870883359967867,8000000,不便分类的其他从业人员
挖掘机叉车维修,4120405,燃气具安装维修工,0.8130552428530685,4120101,汽车维修工
挤压主管,2060714,企业合规师,0.8588663487266419,6180112,冲压工
捉鸭记餐厅厨师,4030205,餐厅服务员,0.8181295948904297,4030201,中式烹调师
换份销售到宏炎地产,4060201,房地产经纪人,0.8225186859080621,4060201,房地产经纪人
换热器外贸业务经理日韩,1060100,,0.6883850809507164,2060701,国际商务专业人员
授权经理,3010203,公关员,0.9307847267213359,2061205,版权管理专业人员
探针卡设计工程师,2020900,电子工程技术人员,0.7367880742744254,2020902,电子元器件工程技术人员
接受实习,2060800,人力资源专业人员,0.7481675858930574,8000000,不便分类的其他从业人员
接受小白 嗨皮敲键盘备战618的电商工作,4010600,电子商务服务人员,0.7025927146724767,4040503,呼叫中心服务员
接受无经验办公室人事,4070300,人力资源服务人员,0.7674176858881618,3010101,行政办事员
接待  收银  洗车工,4120100,汽车摩托车修理技术服务人员,0.7746462345623859,4010204,收银员
接待专员,3010203,公关员,0.9493278852058776,4039900,其他住宿和餐饮服务人员
接待教师,2080000,教学人员,0.9618075701737283,4039900,其他住宿和餐饮服务人员
推广专员,3010203,公关员,0.9691241432205853,2060704,品牌专业人员
推广员,4010203,商品营业员,0.8572661773692364,2060704,品牌专业人员
推广策划经理,2060703,商务策划专业人员,0.9628927957513962,2060704,品牌专业人员
推广运营,4130105,全媒体运营师S,0.8879485603567688,2060704,品牌专业人员
推广运营专员,4130105,全媒体运营师S,0.9783975910278176,2060704,品牌专业人员
推广顾问,2021005,信息系统分析工程技术人员S,0.9670949605263973,2060704,品牌专业人员
推拿,4100106,家政服务员,0.8857872169508642,2050211,中医推拿医师
律师,2070400,律师,0.9999999999999098,2070400,律师
提琴,6090200,乐器制作人员,0.7630438507324198,2090210,外国乐器演奏员
插画师,2090501,画家,0.9999999999998882,2090601,视觉传达设计人员
插画设计师,2090501,画家,0.9607385695409321,2090601,视觉传达设计人员
揭阳市榕城区志在后厨,4030201,中式烹调师,0.8089073004606852,4030201,中式烹调师
揭阳市榕城区睿斯木工,2090106,导演,0.9030800495836935,6060301,手工木工
搏锐锦承代驾司机,6300100,专用车辆驾驶员,0.8985926097482291,4020201,客运车辆驾驶员L
搜索推荐算法专家,2023801,人工智能工程技术人员S,0.8679966924217108,2023801,人工智能工程技术人员S
搞钱抖音官方客服专员 无销售,4010000,批发与零售服务人员,0.584139059686518,4040503,呼叫中心服务员
摄像,4080901,商业摄影师,0.9489120857151713,4080901,商业摄影师
摄像头镜片组装22时白班,4080900,摄影扩印服务人员,0.7568479565894953,6200700,文化办公机械制造人员
摆摊卖饮料6000起,6020000,食品、饮料生产加工人员,0.5781294197730765,6020609,饮料制作工
摩托车销售经理,4120102,摩托车修理工,0.8351762276975139,2060702,市场营销专业人员
播音主持教师,2080000,教学人员,0.9999999999999091,2060804,职业技术实训指导专业人员
支行公司客户经理,4070203,客户服务管理员,0.9482496849902798,1060102,企业经理
收款专员,2060101,经济规划专业人员,0.9379503819906692,4010204,收银员
收款码升级  5分钟一单,4070000,租赁和商务服务人员,0.46561992790372586,8000000,不便分类的其他从业人员
收货部主管,4010100,采购员,0.9194831350080157,1060102,企业经理
政府关系专员乡村振兴,2023000,管理（工业）工程技术人员,0.7682296604483992,2060714,企业合规师
政府关系总监,1020000,国家机关负责人,0.8928679557913674,2060714,企业合规师
政府关系经理,3010102,政务服务办事员,0.8837888748651745,1060102,企业经理
政府项目管理主管,2023004,项目管理工程技术人员,0.8866200488825262,2060714,企业合规师
效果图设计师,4080806,装潢美术设计师,0.9172785334641782,4080807,室内装饰设计师
教育会议服务专员实习生,4130400,教育服务人员,0.8039122699161857,4139900,其他文化和教育服务人员
教育咨询师,4010201,营销员,0.9157252072580034,2060803,职业信息分析专业人员
教育培训运营总监,4010206,连锁经营管理师,0.8744313609082943,4139900,其他文化和教育服务人员
教育市场主管经理,2060703,商务策划专业人员,0.8611859277232329,2060702,市场营销专业人员
教育渠道经理无要求,2080000,教学人员,0.5280030956952841,2060702,市场营销专业人员
教育运营专员,3010200,行政事务处理人员,0.810724153498518,4139900,其他文化和教育服务人员
数字政府业务规划师,2060713,数字化管理师S,0.8357272052784642,2060713,数字化管理师S
数字营销经理,4010201,营销员,0.8640928473390533,4010602,互联网营销师S
数字营销高级专员 外资特医食品,4030200,餐饮服务人员,0.6990011281736965,4010602,互联网营销师S
数学 运筹学类 英文学术期刊助理编辑,2100600,图书资料与微缩摄影专业人员,0.7569674146188136,2100200,编辑
数学编辑,2080000,教学人员,0.7766472870149396,2100204,数字出版编辑S
数据专员,4070304,企业人力资源管理师,0.8156330924975809,2060200,统计专业人员
数据专员乌市,4070300,人力资源服务人员,0.7846616882593134,2060200,统计专业人员
数据中心项目经理,2023401,产品设计工程技术人员,0.8518991273738534,4040504,数据库运行管理员S
数据产品经理,2023401,产品设计工程技术人员,0.9999999999999081,2023401,产品设计工程技术人员
数据线打包26小时,4130000,文化和教育服务人员,0.4669946281983367,6310500,包装工
数码修图师,6250112,电子产品制版工,0.8143560895019945,4080901,商业摄影师
整合支持主任项目管理文案,2023004,项目管理工程技术人员,0.8645451720638311,2023004,项目管理工程技术人员
整合营销策划物业总部,4060101,物业管理师,0.8286378398916393,2060702,市场营销专业人员
整案设计师,2090609,陈列展览设计人员,0.9145012887819054,4080807,室内装饰设计师
整车测试工程师,2020711,汽车工程技术人员L,0.9694141179506462,2020711,汽车工程技术人员L
整车物流规划及运营,4020603,物流服务师L,0.8137450813552926,4020603,物流服务师L
文创产品店店长,4010206,连锁经营管理师,0.8923500484148965,2023401,产品设计工程技术人员
文创设计兼职,4080800,专业化设计服务人员,0.7817891124432552,2090606,工艺美术专业人员
文管中心体系专员,4130105,全媒体运营师S,0.9025717435837862,2023008,信息管理工程技术人员S
斑马森林动漫有限公司服务员,1010001,中国共产党机关负责人,0.9016992735112735,4990000,其他社会生产服务和生活服务人员
斗音小店运营,4010200,销售人员,0.7856010288664117,4990000,其他社会生产服务和生活服务人员
新乡西大街人事专员,4070304,企业人力资源管理师,0.8657488698876368,3010101,行政办事员
新人免费教AU有声书后期音效音频编辑制作,2100200,编辑,0.7219093809791717,2090306,剪辑师
新疆源聚力标识学徒工,6150802,高岭土加工工,0.8032323150126556,6080101,印前处理和制作员
新美香食品质量管理测试,4080500,检验、检测和计量服务人员,0.7939316080553561,4030211,食品安全管理师
新能源 产品总监,2023006,能源管理工程技术人员L,0.8396222933495098,2023401,产品设计工程技术人员
新能源汽车技术工程师,2020901,电子材料工程技术人员,0.8905002866920048,2020711,汽车工程技术人员L
新能源电工包食宿,2021100,电气工程技术人员,0.7929149422842386,6310103,电工
新药注册经理,2050601,药师,0.8177587576142498,1060102,企业经理
新设网点筹建负责人,4010600,电子商务服务人员,0.7685011282976176,4020711,快递站点管理师
新赛道 新经纪 40时代投资管理 贝壳集团,4010200,销售人员,0.7280539873305077,2060906,公司金融顾问
新车二手车金融专员,4050102,银行信贷员,0.9214749668240415,4050102,银行信贷员
新郑货运司机驾驶员,4020201,客运车辆驾驶员L,0.851734740919104,4020202,道路货运汽车驾驶员L
新都石油大学三河场大丰送餐员0元入职,6100000,石油加工和炼焦、煤化工生产人员,0.5153031146697941,4100801,网约配送员
新鑫昊方通经营部配理拣发货,3010202,秘书,0.8047680661490159,4020602,理货员
新闻采编,2100100,记者,0.8874438892976996,2100201,文字编辑
方安氩弧焊工,6180204,焊工,0.9810025731685106,6180204,焊工
方案主创设计师,4130202,动画制作员,0.8582072169074774,2060703,商务策划专业人员
方案策划主管文旅方向,4070403,旅行社计调,0.8370838716581207,2060703,商务策划专业人员
方案设计工程师,2023004,项目管理工程技术人员,0.9080233295371142,2060703,商务策划专业人员
方案设计师,2023702,城乡规划工程技术人员L,0.8721067850836327,2060703,商务策划专业人员
方案设计师构件设计师,4130202,动画制作员,0.8859908613451108,2060703,商务策划专业人员
方正排版学徒,3010202,秘书,0.8575483792965388,6080101,印前处理和制作员
方法开发工程师,2021005,信息系统分析工程技术人员S,0.8707655058523287,2021000,信息和通信工程技术人员
施工主管,6290000,建筑施工人员,0.9092352405095044,6290200,土木工程建筑施工人员
施工员,6290000,建筑施工人员,0.9999999999998803,6290200,土木工程建筑施工人员
施工图深化设计师,4080806,装潢美术设计师,0.8497681723784692,2021802,土木建筑工程技术人员
施工图设计师,3010207,制图员,0.9043243681144266,2021802,土木建筑工程技术人员
施工安全员,6310600,安全员,0.9999999999999103,6310600,安全员
施工测绘员,6290000,建筑施工人员,0.9299257965481083,2021802,土木建筑工程技术人员
施工管理员,6290000,建筑施工人员,0.9160144549280986,2021802,土木建筑工程技术人员
施工项目经理储备项目,2023007,监理工程技术人员,0.9015456117921992,2021802,土木建筑工程技术人员
无人机及制图实习工程师,6230315,无人机装调检修工,0.8126613184898641,2020204,地图制图工程技术人员S
无人机总工,6230315,无人机装调检修工,0.957279136665768,2020802,飞行器制造工程技术人员
无压销售无通话时长,4010200,销售人员,0.620838606858477,4010200,销售人员
无微电器水电工,6310103,电工,0.9198437512260387,6310110,机电设备维修工
无线网络优化工程师,2021001,通信工程技术人员S,0.8417279936391592,2021001,通信工程技术人员S
无线通信协议栈软件工程师,2021001,通信工程技术人员S,0.8898075079691223,2021001,通信工程技术人员S
无经验实习生食宿,4030000,住宿和餐饮服务人员,0.5130428151697631,8000000,不便分类的其他从业人员
无经验小白也挣过万,6310000,生产辅助人员,0.46583351288917907,8000000,不便分类的其他从业人员
无聊给自己找个小姑奶奶宠着主播,2100000,新闻出版、文化专业人员,0.49494110676222425,8000000,不便分类的其他从业人员
客服政府合作,3010100,行政业务办理人员,0.7960926498078699,4040503,呼叫中心服务员
930上班招商专员,4040500,软件和信息技术服务人员,0.7791305590732703,2060703,商务策划专业人员
无任务,2060900,银行专业人员,0.6788122898186167,8000000,不便分类的其他从业人员
,4070102,拍卖服务师,0.8935753559677767,8000000,不便分类的其他从业人员
任工资8058元 带薪培训配备电脑专车接送销售,4070000,租赁和商务服务人员,0.5347297825423024,4010200,销售人员
一万销售长期驻外,4070000,租赁和商务服务人员,0.5393187802484215,4010200,销售人员
美团优选直营BD,2060000,经济和金融专业人员,0.5141245109982475,2060704,品牌专业人员
广告业务经理,4070203,客户服务管理员,0.9741066259471567,2060700,商务专业人员
招服务员,4030205,餐厅服务员,0.9780745160745449,4990000,其他社会生产服务和生活服务人员
客户经理,4070203,客户服务管理员,0.9999999999999298,4070203,客户服务管理员
电话客服,4040503,呼叫中心服务员,0.9999999999998855,4040503,呼叫中心服务员
销售有车就管最低,4010200,销售人员,0.7557892590767155,4010200,销售人员
无车计件专员,2060700,商务专业人员,0.6533647497396676,4020709,快件处理员
无销售采耳理疗一万  不限经验,2050000,卫生专业技术人员,0.43498275794203156,4100402,保健按摩师
无销售起提醒专员,4010200,销售人员,0.662983707954274,4040101,信息通信营业员
叉车司机,6300501,起重装卸机械操作工,0.9999999999998403,6300501,起重装卸机械操作工
无锡万科靖樾东方置业顾问,1010002,中国共产党基层组织负责人,0.8030367357606789,4060201,房地产经纪人
无锡大公司有发展 康养规划师,2060700,商务专业人员,0.6928286020337212,4140202,健康管理师
无锡市区短途配送司机,4020200,道路运输服务人员,0.7877013471744793,4020202,道路货运汽车驾驶员L
无锡神州二手车市缝纫工,6050103,缝纫工,0.8602643527362249,6050103,缝纫工
无锡积木空间设计木工,6060300,木制品制造人员,0.7942469572521582,6060301,手工木工
无锡翼驰钣喷中心钣金工,6180304,喷涂喷焊工,0.8632957341411361,6180112,冲压工
无需出差电话销售,4010200,销售人员,0.7149057545339423,4010200,销售人员
无需外出车险客户经理,4050000,金融服务人员,0.5582823495499919,2061000,保险专业人员
无需外出太平洋续保专员,3010000,行政办事及辅助人员,0.5778223315176415,4050302,保险保全员
无需有车可兼职可全职,4010000,批发与零售服务人员,0.49509074861650304,8000000,不便分类的其他从业人员
日企财务岗位,2060000,经济和金融专业人员,0.7877482406718599,2060300,会计专业人员
日入200以上推广兼职,4010000,批发与零售服务人员,0.4550105286836006,4010200,销售人员
日内交易员,4050201,证券期货服务师,0.9105676932704005,4990000,其他社会生产服务和生活服务人员
日化销售代表文山片区,2060700,商务专业人员,0.7305532846163612,4010201,营销员
日料店长,4010206,连锁经营管理师,0.8560998282559126,4030203,西式烹调师
日本乐天运营专员,2060700,商务专业人员,0.6498204955094682,2060704,品牌专业人员
日本酒店产品经理,4030101,前厅服务员,0.8036159527385776,2023401,产品设计工程技术人员
日照经济技术开发理货员,6190105,日用五金制品制作工,0.8175454457674165,4020602,理货员
日结100聊天打字主播,4010600,电子商务服务人员,0.6773826884289859,4990000,其他社会生产服务和生活服务人员
日结中华烟草采购,6030300,烟草制品生产人员,0.7592889145923234,4010504,烟草制品购销员
日结工天209,4100100,生活照料服务人员,0.7674934169107902,4990000,其他社会生产服务和生活服务人员
日结昆山环鸿汽车电子设备厂,2100500,翻译,0.849276316228761,6220000,汽车制造人员
日结轻松保安,4070500,安全保护服务人员,0.7304096556458399,4070501,保安员
日薪元分拣员,6180100,机械冷加工人员,0.7476850832924012,4990000,其他社会生产服务和生活服务人员
日薪400 滴滴诚聘网约车司机 有车无车 可兼职,4020000,交通运输、仓储物流和邮政业服务人员,0.5261312458359548,4020201,客运车辆驾驶员L
日薪600广州多平台网约车司机结算快时间,4020000,交通运输、仓储物流和邮政业服务人员,0.44825480581014077,4020201,客运车辆驾驶员L
日语储备工程师珠海金湾,2022000,林草工程技术人员,0.6395852145944628,2020704,设备工程技术人员
日语商务助理,2080000,教学人员,0.7807799152331318,2060701,国际商务专业人员
日语外贸业务员,2060701,国际商务专业人员,0.8664731235192663,2060701,国际商务专业人员
日语担当业务员,2060701,国际商务专业人员,0.8137378141288941,2060701,国际商务专业人员
日语教研主管,2080000,教学人员,0.9191312399896256,2089900,其他教学人员
日语翻译,2100500,翻译,0.9999999999999258,2100500,翻译
日语营业,2060701,国际商务专业人员,0.8627868271912404,2100500,翻译
日语财务总账会计经理,2060300,会计专业人员,0.7366912409323417,2060300,会计专业人员
日语跟单,2100500,翻译,0.9345495408370103,6319900,其他生产辅助人员
日语采购,2060701,国际商务专业人员,0.9232862550302521,2060702,市场营销专业人员
日语采购担当,2060701,国际商务专业人员,0.8704242541956436,2060702,市场营销专业人员
日韩签证专员,4070400,旅游及公共游览场所服务人员,0.7331718661326493,3010101,行政办事员
招聘专员,3010203,公关员,0.921954498902997,4070308,招聘师
月休 6000延保专员,4070300,人力资源服务人员,0.6620266936516758,4050302,保险保全员
时间自由养老代表W,3010000,行政办事及辅助人员,0.5180729965439481,8000000,不便分类的其他从业人员
仲裁判责岗,2090702,裁判员,0.9084625950505563,3010300,行政执法及仲裁人员
元,4070102,拍卖服务师,0.920425042167772,2060802,人力资源服务专业人员
销售专员,4010201,营销员,0.9999999999998714,4010201,营销员
仓库看守可临时工日结兼职,4010200,销售人员,0.6795149614127842,4020601,仓储管理员
中心合伙人,2000000,专业技术人员,0.7606593655605309,8000000,不便分类的其他从业人员
早教中心课程顾问,4010201,营销员,0.8564732748375047,2080300,幼儿园教师
早晚班店员,4010203,商品营业员,0.8294174599672095,4010203,商品营业员
早班店长剧本杀,4080800,专业化设计服务人员,0.7331875153343451,4140504,康乐服务员
时间弹性自由无需客户经理,3010000,行政办事及辅助人员,0.46588459900348633,4070203,客户服务管理员
昆山全屋定制工厂销售经理,2023800,数字技术工程技术人员,0.7896198240286377,2060702,市场营销专业人员
昆山大型电子厂 高工资8000,6250000,计算机、通信和其他电子设备制造人员,0.5806408348223244,6250000,计算机、通信和其他电子设备制造人员
昆明厨友厨房设备机修工,6290300,建筑安装施工人员,0.7802987784654508,6310100,机械设备修理人员
昆明木木夕木目心陈列员,1010001,中国共产党机关负责人,0.804032448942496,4010203,商品营业员
昌宁双胞胎锅炉工,6280100,电力、热力生产和供应人员,0.7326789908266078,6280111,锅炉操作工
明安保安保安,4070501,保安员,0.9217847882375264,4070501,保安员
明恩堂托管厨师,4030201,中式烹调师,0.9163084769223393,4030201,中式烹调师
明明美妆店员营业员,4100301,美容师,0.8664620284809122,4010203,商品营业员
明源机械电工,2021101,电工电器工程技术人员,0.930630550343409,6310103,电工
易尔富来普钳工,6200101,装配钳工,0.8801728428661459,6200101,装配钳工
易贝可蛋糕裱花师,6020102,糕点装饰师,0.9301029511995929,6020102,糕点装饰师
星中德汽车油漆工,6180303,涂装工,0.8158025833210237,4120101,汽车维修工
星光美时普工操作工,6240700,照明器具制造人员,0.7068639432759976,6000000,生产制造及有关人员
星巴克咖啡师,4030208,咖啡师,0.8966455823675326,4030208,咖啡师
星硕传媒理货员,4130105,全媒体运营师S,0.8295411817327847,4020602,理货员
星级咖啡师全职,4030200,餐饮服务人员,0.7887654549398028,4030208,咖啡师
星级咖啡师社会人士,4030208,咖啡师,0.8492343313339377,4030208,咖啡师
春融街日结时间自由安排,4070000,租赁和商务服务人员,0.5040299634658951,4990000,其他社会生产服务和生活服务人员
昭阳货运集团货运代理经理,4020503,货运代理服务员,0.9121859110782478,4020503,货运代理服务员
晋中货运纯司机CB本,4020201,客运车辆驾驶员L,0.8846385429174732,4020202,道路货运汽车驾驶员L
晋城市城区蓝岸饮品店咖啡师,4030200,餐饮服务人员,0.7642336318197399,4030208,咖啡师
晋城市城区赞挺餐饮店咖啡师,4030200,餐饮服务人员,0.7552134701750617,4030208,咖啡师
晋城市城区顺风扬服务员,4070405,公共游览场所服务员,0.8014805752921873,4990000,其他社会生产服务和生活服务人员
晋江市内坑镇奥香面包烘焙师,4030201,中式烹调师,0.8097251811920134,6020101,糕点面包烘焙师
晋江市安海镇格纳服务员,1010000,中国共产党机关和基层组织负责人,0.7833193155358388,4990000,其他社会生产服务和生活服务人员
晋江市梅岭向舒平面包烘焙师,4030201,中式烹调师,0.8493399518806046,6020101,糕点面包烘焙师
晚班客服,4040503,呼叫中心服务员,0.8304049465721716,4070203,客户服务管理员
晟熙鸿窗饰缝纫工,2090106,导演,0.8316826453137207,6050103,缝纫工
晟特嘉车工,6260101,仪器仪表制造工,0.8403754716840514,6180101,车工
晨光文具机修工,4100100,生活照料服务人员,0.7911381852703556,6310100,机械设备修理人员
晨驰餐饮后厨,4030205,餐厅服务员,0.8775455468460194,4030201,中式烹调师
普工,6040202,缫丝工,0.9266808028653839,6000000,生产制造及有关人员
普工综合汽车厂,6220000,汽车制造人员,0.8212729494436091,6220000,汽车制造人员
普工操作工,6000000,生产制造及有关人员,0.9485806697051872,6000000,生产制造及有关人员
普工操作工临时工学徒工包装工,6180400,工装工具制造加工人员,0.7904441329788964,6000000,生产制造及有关人员
普工操作工组装修补,6000000,生产制造及有关人员,0.8710918501930611,6000000,生产制造及有关人员
普工300预支,4050000,金融服务人员,0.5028942050011356,6000000,生产制造及有关人员
普工操作工,6000000,生产制造及有关人员,0.9485806697051872,6000000,生产制造及有关人员
普工仪表工,6260101,仪器仪表制造工,0.945856015213517,6260101,仪器仪表制造工
普工生产员,6000000,生产制造及有关人员,0.8958864501435942,6000000,生产制造及有关人员
普检销售代表,4010201,营销员,0.9393046343855309,2060702,市场营销专业人员
普检销售代表,4010201,营销员,0.9393046343855309,2060702,市场营销专业人员
